2.80965,1.43308,8,0
2.92473,1.52908,5,0
3.05286,1.6068,4,0
3.19116,1.6645,6,0
3.33654,1.70089,11,0
3.48572,1.71514,20,0
3.63535,1.70695,33,0
3.78208,1.67648,46,0
2.8091,1.43359,8,0
2.92274,1.53131,5,0
3.0489,1.61222,4,0
3.18512,1.67474,6,0
3.32873,1.71764,11,0
3.47691,1.74007,20,0
3.62678,1.74161,33,0
3.7754,1.72222,46,0
2.80855,1.43409,8,0
2.92072,1.53352,5,0
3.04483,1.61757,4,0
3.17879,1.68482,5,0
3.32034,1.73414,9,0
3.46709,1.76469,18,0
3.61656,1.77596,28,0
3.76623,1.76776,42,0
2.80799,1.4346,8,0
2.91867,1.53571,5,0
3.04066,1.62284,4,0
3.1722,1.69475,4,0
3.3114,1.75039,9,0
3.45626,1.78897,18,0
3.6047,1.80992,28,0
3.75458,1.81296,42,0
2.80743,1.43509,8,0
2.91659,1.53786,5,0
3.03637,1.62803,4,0
3.16533,1.7045,4,0
3.3019,1.76635,9,0
3.44443,1.81284,18,0
3.59121,1.8434,28,0
3.74046,1.85766,42,0
2.80687,1.43559,8,0
2.91448,1.53999,5,0
3.03198,1.63313,4,0
3.1582,1.71408,4,0
3.29186,1.78202,9,0
3.43163,1.83627,18,0
3.57613,1.8763,29,0
3.7239,1.90171,38,0
2.8063,1.43608,8,0
2.91235,1.5421,5,0
3.02749,1.63815,4,0
3.1508,1.72347,4,0
3.28128,1.79736,9,0
3.41788,1.85922,14,0
3.55948,1.90856,25,0
3.70494,1.94497,37,0
2.80573,1.43657,8,0
2.91018,1.54417,5,0
3.0229,1.64308,2,0
3.14316,1.73267,4,0
3.27019,1.81236,6,0
3.40319,1.88164,15,0
3.54129,1.94007,24,0
3.68363,1.98728,39,0
2.80516,1.43705,8,0
2.90799,1.54621,5,0
3.0182,1.64792,2,0
3.13526,1.74166,4,0
3.25859,1.82699,6,0
3.38758,1.90349,15,0
3.52161,1.97077,20,0
3.66002,2.02852,36,0
2.80458,1.43753,8,0
2.90577,1.54823,5,0
3.01341,1.65266,2,0
3.12713,1.75045,4,0
3.2465,1.84125,6,0
3.3711,1.92472,12,0
3.50048,2.00057,22,0
3.63418,2.06853,36,0
2.804,1.43801,8,0
2.90352,1.55022,5,0
3.00853,1.65731,2,0
3.11875,1.75903,3,0
3.23392,1.8551,6,0
3.35375,1.94531,11,0
3.47794,2.02941,23,0
3.60617,2.10719,32,0
2.80342,1.43848,8,0
2.90125,1.55217,5,0
3.00355,1.66186,2,0
3.11015,1.76738,3,0
3.22089,1.86854,5,0
3.33558,1.9652,11,0
3.45405,2.05719,21,0
3.5761,2.14437,34,0
2.80283,1.43895,8,0
2.89895,1.5541,5,0
2.99848,1.66632,2,0
3.10132,1.7755,3,0
3.2074,1.88155,6,0
3.31661,1.98436,11,0
3.42886,2.08386,22,0
3.54403,2.17994,31,0
2.80225,1.43941,8,0
2.89662,1.55599,5,0
2.99332,1.67067,2,0
3.09228,1.78338,3,0
3.19348,1.8941,6,0
3.29688,2.00277,11,0
3.40243,2.10934,18,0
3.51008,2.21379,28,0
2.80165,1.43987,8,0
2.89427,1.55786,5,0
2.98807,1.67491,2,0
3.08303,1.79102,3,0
3.17915,1.90618,6,0
3.27642,2.02037,11,0
3.37482,2.13358,17,0
3.47435,2.2458,28,0
2.80106,1.44033,8,0
2.8919,1.55969,5,0
2.98274,1.67905,1,0
3.07358,1.79842,3,0
3.16443,1.91778,5,0
3.25527,2.03715,9,0
3.34611,2.15651,17,0
3.43695,2.27587,31,0
2.80046,1.44078,8,0
2.8895,1.56149,5,0
2.97733,1.68309,1,0
3.06394,1.80556,3,0
3.14932,1.92889,4,0
3.23346,2.05306,9,0
3.31636,2.17808,17,0
3.398,2.30391,27,0
2.79986,1.44123,8,0
2.88708,1.56326,5,0
2.97184,1.68701,3,0
3.05411,1.81244,3,0
3.13385,1.93948,4,0
3.21104,2.06809,8,0
3.28564,2.19822,17,0
3.35762,2.32982,28,0
2.79925,1.44167,8,0
2.88463,1.565,5,0
2.96627,1.69083,3,0
3.0441,1.81905,3,0
3.11805,1.94955,3,0
3.18805,2.08221,9,0
3.25403,2.21691,14,0
3.31595,2.35352,26,0
2.79865,1.44211,8,0
2.88216,1.5667,5,0
2.96063,1.69453,3,0
3.03392,1.82539,3,0
3.10192,1.95908,3,0
3.16452,2.09538,8,0
3.22162,2.23408,16,0
3.27312,2.37495,23,0
2.79804,1.44255,8,0
2.87967,1.56837,5,0
2.95491,1.69811,3,0
3.02358,1.83146,1,0
3.08549,1.96807,3,0
3.1405,2.1076,8,0
3.18847,2.24971,16,0
3.22928,2.39403,27,0
2.79742,1.44298,8,0
2.87716,1.57001,5,0
2.94913,1.70158,3,0
3.01308,1.83724,1,0
3.06879,1.97649,5,0
3.11604,2.11883,7,0
3.15468,2.26375,15,0
3.18455,2.41072,26,0
2.79681,1.44341,8,0
2.87462,1.57161,6,0
2.94328,1.70494,3,0
3.00245,1.84274,1,0
3.05183,1.98435,5,0
3.09118,2.12906,9,0
3.12032,2.27617,17,0
3.1391,2.42496,25,0
2.79619,1.44383,8,0
2.87207,1.57318,6,0
2.93737,1.70817,3,0
2.99167,1.84796,1,0
3.03463,1.99163,5,0
3.06597,2.13828,9,0
3.08549,2.28696,17,0
3.09306,2.43673,27,0
2.79557,1.44425,8,0
2.86949,1.57471,6,0
2.93139,1.71129,3,0
2.98077,1.85287,1,0
3.01722,1.99833,3,0
3.04044,2.14647,9,0
3.05026,2.29609,17,0
3.0466,2.446,27,0
2.79494,1.44467,8,0
2.8669,1.57621,5,0
2.92536,1.71428,3,0
2.96975,1.8575,3,0
2.99961,2.00443,3,0
3.01466,2.15361,7,0
3.01474,2.30355,15,0
2.99985,2.45274,25,0
2.79432,1.44508,8,0
2.86428,1.57767,5,0
2.91927,1.71715,3,0
2.95862,1.86182,3,0
2.98184,2.00993,3,0
2.98866,2.1597,7,0
2.97901,2.30932,15,0
2.95298,2.45697,27,0
2.79369,1.44548,8,0
2.86165,1.5791,5,0
2.91313,1.7199,3,0
2.94738,1.86584,3,0
2.96392,2.01484,5,0
2.9625,2.16474,9,0
2.94315,2.31339,17,0
2.90614,2.45866,27,0
2.79305,1.44589,8,0
2.859,1.5805,5,0
2.90694,1.72252,3,0
2.93606,1.86956,3,0
2.94588,2.01913,5,0
2.93622,2.16871,9,0
2.90726,2.31578,17,0
2.85947,2.45785,28,0
2.79242,1.44629,8,0
2.85633,1.58185,5,0
2.9007,1.72501,3,0
2.92466,1.87296,3,0
2.92773,2.02281,5,0
2.90987,2.17162,9,0
2.87142,2.31648,18,0
2.81313,2.45456,29,0
2.79178,1.44668,8,0
2.85365,1.58317,5,0
2.89442,1.72738,3,0
2.91318,1.87606,4,0
2.90951,2.02588,6,0
2.8835,2.17346,9,0
2.83573,2.3155,18,0
2.76726,2.44881,30,0
